feature_variant,condition,category,count,proportion
color_only,audio_boundary,both_correct,26,0.8666666666666667
color_only,audio_boundary,both_wrong,1,0.03333333333333333
color_only,audio_boundary,original_correct_swapped_wrong,1,0.03333333333333333
color_only,audio_boundary,original_wrong_swapped_correct,2,0.06666666666666667
color_only,low_boundary,both_correct,27,0.9
color_only,low_boundary,original_correct_swapped_wrong,2,0.06666666666666667
color_only,low_boundary,original_wrong_swapped_correct,1,0.03333333333333333
color_only,temporal_boundary,both_correct,29,0.9666666666666667
color_only,temporal_boundary,original_correct_swapped_wrong,1,0.03333333333333333
color_only,visual_boundary,both_correct,24,0.8
color_only,visual_boundary,original_wrong_swapped_correct,6,0.2
full,audio_boundary,both_correct,20,0.6666666666666666
full,audio_boundary,original_wrong_swapped_correct,10,0.3333333333333333
full,low_boundary,both_correct,17,0.5666666666666667
full,low_boundary,original_wrong_swapped_correct,13,0.43333333333333335
full,temporal_boundary,both_correct,23,0.7666666666666667
full,temporal_boundary,original_wrong_swapped_correct,7,0.23333333333333334
full,visual_boundary,both_correct,10,0.3333333333333333
full,visual_boundary,original_wrong_swapped_correct,20,0.6666666666666666
shape_only,audio_boundary,both_correct,19,0.6333333333333333
shape_only,audio_boundary,original_wrong_swapped_correct,11,0.36666666666666664
shape_only,low_boundary,both_correct,17,0.5666666666666667
shape_only,low_boundary,original_wrong_swapped_correct,13,0.43333333333333335
shape_only,temporal_boundary,both_correct,22,0.7333333333333333
shape_only,temporal_boundary,original_wrong_swapped_correct,8,0.26666666666666666
shape_only,visual_boundary,both_correct,16,0.5333333333333333
shape_only,visual_boundary,original_wrong_swapped_correct,14,0.4666666666666667
