feature_variant,condition,video_pairs,prompt_accuracy,strict_both_correct,accuracy_strict_gap_d,position_sensitive_rate,both_wrong_rate,both_correct_count,exactly_one_correct_count,both_wrong_count
color_only,audio_boundary,30,0.9333333333333333,0.9,0.033333333333333326,0.06666666666666667,0.03333333333333333,27,2,1
color_only,low_boundary,30,0.9166666666666666,0.8333333333333334,0.08333333333333326,0.16666666666666666,0.0,25,5,0
color_only,temporal_boundary,30,0.9666666666666667,0.9666666666666667,0.0,0.0,0.03333333333333333,29,0,1
color_only,visual_boundary,30,0.9,0.8,0.09999999999999998,0.2,0.0,24,6,0
full,audio_boundary,30,0.85,0.7,0.15000000000000002,0.3,0.0,21,9,0
full,low_boundary,30,0.7833333333333333,0.5666666666666667,0.21666666666666667,0.43333333333333335,0.0,17,13,0
full,temporal_boundary,30,0.8666666666666667,0.7333333333333333,0.13333333333333341,0.26666666666666666,0.0,22,8,0
full,visual_boundary,30,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,10,20,0
shape_only,audio_boundary,30,0.8333333333333334,0.6666666666666666,0.16666666666666674,0.3333333333333333,0.0,20,10,0
shape_only,low_boundary,30,0.8,0.6,0.20000000000000007,0.4,0.0,18,12,0
shape_only,temporal_boundary,30,0.85,0.7,0.15000000000000002,0.3,0.0,21,9,0
shape_only,visual_boundary,30,0.7333333333333333,0.5,0.23333333333333328,0.4666666666666667,0.03333333333333333,15,14,1
size_only,audio_boundary,30,0.8166666666666667,0.7666666666666667,0.04999999999999993,0.1,0.13333333333333333,23,3,4
size_only,low_boundary,30,0.7333333333333333,0.6666666666666666,0.06666666666666665,0.13333333333333333,0.2,20,4,6
size_only,temporal_boundary,30,0.8166666666666667,0.7666666666666667,0.04999999999999993,0.1,0.13333333333333333,23,3,4
size_only,visual_boundary,30,0.7166666666666667,0.5333333333333333,0.18333333333333335,0.36666666666666664,0.1,16,11,3
