difficulty_level,difficulty_name,condition,category,count,proportion
5,L5_color_only,audio_boundary,both_correct,27,0.9
5,L5_color_only,audio_boundary,both_wrong,1,0.03333333333333333
5,L5_color_only,audio_boundary,original_wrong_swapped_correct,2,0.06666666666666667
5,L5_color_only,low_boundary,both_correct,25,0.8333333333333334
5,L5_color_only,low_boundary,original_correct_swapped_wrong,2,0.06666666666666667
5,L5_color_only,low_boundary,original_wrong_swapped_correct,3,0.1
5,L5_color_only,temporal_boundary,both_correct,29,0.9666666666666667
5,L5_color_only,temporal_boundary,both_wrong,1,0.03333333333333333
5,L5_color_only,visual_boundary,both_correct,24,0.8
5,L5_color_only,visual_boundary,original_wrong_swapped_correct,6,0.2
5,L5_full,audio_boundary,both_correct,21,0.7
5,L5_full,audio_boundary,original_wrong_swapped_correct,9,0.3
5,L5_full,low_boundary,both_correct,17,0.5666666666666667
5,L5_full,low_boundary,original_wrong_swapped_correct,13,0.43333333333333335
5,L5_full,temporal_boundary,both_correct,22,0.7333333333333333
5,L5_full,temporal_boundary,original_wrong_swapped_correct,8,0.26666666666666666
5,L5_full,visual_boundary,both_correct,10,0.3333333333333333
5,L5_full,visual_boundary,original_wrong_swapped_correct,20,0.6666666666666666
5,L5_shape_only,audio_boundary,both_correct,20,0.6666666666666666
5,L5_shape_only,audio_boundary,original_wrong_swapped_correct,10,0.3333333333333333
5,L5_shape_only,low_boundary,both_correct,18,0.6
5,L5_shape_only,low_boundary,original_wrong_swapped_correct,12,0.4
5,L5_shape_only,temporal_boundary,both_correct,21,0.7
5,L5_shape_only,temporal_boundary,original_wrong_swapped_correct,9,0.3
5,L5_shape_only,visual_boundary,both_correct,15,0.5
5,L5_shape_only,visual_boundary,both_wrong,1,0.03333333333333333
5,L5_shape_only,visual_boundary,original_wrong_swapped_correct,14,0.4666666666666667
5,L5_size_only,audio_boundary,both_correct,23,0.7666666666666667
5,L5_size_only,audio_boundary,both_wrong,4,0.13333333333333333
5,L5_size_only,audio_boundary,original_correct_swapped_wrong,1,0.03333333333333333
5,L5_size_only,audio_boundary,original_wrong_swapped_correct,2,0.06666666666666667
5,L5_size_only,low_boundary,both_correct,20,0.6666666666666666
5,L5_size_only,low_boundary,both_wrong,6,0.2
5,L5_size_only,low_boundary,original_correct_swapped_wrong,1,0.03333333333333333
5,L5_size_only,low_boundary,original_wrong_swapped_correct,3,0.1
5,L5_size_only,temporal_boundary,both_correct,23,0.7666666666666667
5,L5_size_only,temporal_boundary,both_wrong,4,0.13333333333333333
5,L5_size_only,temporal_boundary,original_correct_swapped_wrong,1,0.03333333333333333
5,L5_size_only,temporal_boundary,original_wrong_swapped_correct,2,0.06666666666666667
5,L5_size_only,visual_boundary,both_correct,16,0.5333333333333333
5,L5_size_only,visual_boundary,both_wrong,3,0.1
5,L5_size_only,visual_boundary,original_wrong_swapped_correct,11,0.36666666666666664
